Tarapacá;Camiña;2015;1.293
Tarapacá;Camiña;2016;1.278
Tarapacá;Camiña;2017;1.277
Tarapacá;Camiña;2018;1.272
Tarapacá;Camiña;2019;1.268
Tarapacá;Camiña;2020;1.262
Tarapacá;Colchane;2015;1.696
Tarapacá;Colchane;2016;1.688
Tarapacá;Colchane;2017;1.689
Tarapacá;Colchane;2018;1.682
Tarapacá;Colchane;2019;1.675
Tarapacá;Colchane;2020;1.671
Tarapacá;Huara;2015;2.936
Tarapacá;Huara;2016;2.943
Tarapacá;Huara;2017;2.966
Tarapacá;Huara;2018;2.984
Tarapacá;Huara;2019;2.983
Tarapacá;Huara;2020;2.991
Tarapacá;Iquique;2015;198.123
Tarapacá;Iquique;2016;199.629
Tarapacá;Iquique;2017;200.897
Tarapacá;Iquique;2018;201.948
Tarapacá;Iquique;2019;202.809
Tarapacá;Iquique;2020;203.439
Tarapacá;Pica;2015;6.639
Tarapacá;Pica;2016;6.653
Tarapacá;Pica;2017;6.650
Tarapacá;Pica;2018;6.652
Tarapacá;Pica;2019;6.648
Tarapacá;Pica;2020;6.645
Tarapacá;Pozo Almonte;2015;13.940
Tarapacá;Pozo Almonte;2016;14.156
Tarapacá;Pozo Almonte;2017;14.361
Tarapacá;Pozo Almonte;2018;14.562
Tarapacá;Pozo Almonte;2019;14.752
Tarapacá;Pozo Almonte;2020;14.936
Antofagasta;Antofagasta;2015;378.244
Antofagasta;Antofagasta;2016;384.065
Antofagasta;Antofagasta;2017;389.812
Antofagasta;Antofagasta;2018;395.453
Antofagasta;Antofagasta;2019;400.967
Antofagasta;Antofagasta;2020;406.362
Antofagasta;Calama;2015;176.459
Antofagasta;Calama;2016;179.200
Antofagasta;Calama;2017;181.897
Antofagasta;Calama;2018;184.543
Antofagasta;Calama;2019;187.129
Antofagasta;Calama;2020;189.654
Antofagasta;María Elena;2015;5.162
Antofagasta;María Elena;2016;5.000
Antofagasta;María Elena;2017;4.840
Antofagasta;María Elena;2018;4.680
Antofagasta;María Elena;2019;4.521
Antofagasta;María Elena;2020;4.371
Antofagasta;Mejillones;2015;11.309
Antofagasta;Mejillones;2016;11.541
Antofagasta;Mejillones;2017;11.754
Antofagasta;Mejillones;2018;11.977
Antofagasta;Mejillones;2019;12.192
Antofagasta;Mejillones;2020;12.403
Antofagasta;Ollagüe;2015;313
Antofagasta;Ollagüe;2016;311
Antofagasta;Ollagüe;2017;310
Antofagasta;Ollagüe;2018;306
Antofagasta;Ollagüe;2019;309
Antofagasta;Ollagüe;2020;305
Antofagasta;San Pedro de Atacama;2015;7.418
Antofagasta;San Pedro de Atacama;2016;7.626
Antofagasta;San Pedro de Atacama;2017;7.840
Antofagasta;San Pedro de Atacama;2018;8.052
Antofagasta;San Pedro de Atacama;2019;8.256
Antofagasta;San Pedro de Atacama;2020;8.476
Antofagasta;Sierra Gorda;2015;3.095
Antofagasta;Sierra Gorda;2016;3.151
Antofagasta;Sierra Gorda;2017;3.205
Antofagasta;Sierra Gorda;2018;3.258
Antofagasta;Sierra Gorda;2019;3.314
Antofagasta;Sierra Gorda;2020;3.359
Antofagasta;Taltal;2015;13.050
Antofagasta;Taltal;2016;13.174
Antofagasta;Taltal;2017;13.296
Antofagasta;Taltal;2018;13.396
Antofagasta;Taltal;2019;13.509
Antofagasta;Taltal;2020;13.601
Antofagasta;Tocopilla;2015;27.590
Antofagasta;Tocopilla;2016;27.807
Antofagasta;Tocopilla;2017;27.996
Antofagasta;Tocopilla;2018;28.180
Antofagasta;Tocopilla;2019;28.348
Antofagasta;Tocopilla;2020;28.507
Atacama;Alto del Carmen;2015;6.305
Atacama;Alto del Carmen;2016;6.412
Atacama;Alto del Carmen;2017;6.519
Atacama;Alto del Carmen;2018;6.624
Atacama;Alto del Carmen;2019;6.736
Atacama;Alto del Carmen;2020;6.829
Atacama;Caldera;2015;17.542
Atacama;Caldera;2016;17.830
Atacama;Caldera;2017;18.101
Atacama;Caldera;2018;18.369
Atacama;Caldera;2019;18.633
Atacama;Caldera;2020;18.888
Atacama;Chañaral;2015;13.725
Atacama;Chañaral;2016;13.698
Atacama;Chañaral;2017;13.660
Atacama;Chañaral;2018;13.621
Atacama;Chañaral;2019;13.563
Atacama;Chañaral;2020;13.511
Atacama;Copiapó;2015;172.231
Atacama;Copiapó;2016;175.524
Atacama;Copiapó;2017;178.788
Atacama;Copiapó;2018;181.962
Atacama;Copiapó;2019;185.116
Atacama;Copiapó;2020;188.189
Atacama;Diego de Almagro;2015;15.224
Atacama;Diego de Almagro;2016;14.939
Atacama;Diego de Almagro;2017;14.656
Atacama;Diego de Almagro;2018;14.360
Atacama;Diego de Almagro;2019;14.072
Atacama;Diego de Almagro;2020;13.785
Atacama;Freirina;2015;6.915
Atacama;Freirina;2016;6.992
Atacama;Freirina;2017;7.073
Atacama;Freirina;2018;7.160
Atacama;Freirina;2019;7.233
Atacama;Freirina;2020;7.306
Atacama;Huasco;2015;10.263
Atacama;Huasco;2016;10.429
Atacama;Huasco;2017;10.595
Atacama;Huasco;2018;10.768
Atacama;Huasco;2019;10.930
Atacama;Huasco;2020;11.093
Atacama;Tierra Amarilla;2015;17.194
Atacama;Tierra Amarilla;2016;17.530
Atacama;Tierra Amarilla;2017;17.857
Atacama;Tierra Amarilla;2018;18.190
Atacama;Tierra Amarilla;2019;18.500
Atacama;Tierra Amarilla;2020;18.816
Atacama;Vallenar;2015;53.087
Atacama;Vallenar;2016;53.338
Atacama;Vallenar;2017;53.550
Atacama;Vallenar;2018;53.747
Atacama;Vallenar;2019;53.907
Atacama;Vallenar;2020;54.046
Coquimbo;Andacollo;2015;11.415
Coquimbo;Andacollo;2016;11.488
Coquimbo;Andacollo;2017;11.555
Coquimbo;Andacollo;2018;11.619
Coquimbo;Andacollo;2019;11.677
Coquimbo;Andacollo;2020;11.734
Coquimbo;Canela;2015;9.903
Coquimbo;Canela;2016;9.914
Coquimbo;Canela;2017;9.911
Coquimbo;Canela;2018;9.895
Coquimbo;Canela;2019;9.883
Coquimbo;Canela;2020;9.864
Coquimbo;Combarbalá;2015;15.299
Coquimbo;Combarbalá;2016;15.379
Coquimbo;Combarbalá;2017;15.453
Coquimbo;Combarbalá;2018;15.528
Coquimbo;Combarbalá;2019;15.587
Coquimbo;Combarbalá;2020;15.649
Coquimbo;Coquimbo;2015;231.507
Coquimbo;Coquimbo;2016;236.799
Coquimbo;Coquimbo;2017;242.096
Coquimbo;Coquimbo;2018;247.386
Coquimbo;Coquimbo;2019;252.663
Coquimbo;Coquimbo;2020;257.931
Coquimbo;Illapel;2015;32.822
Coquimbo;Illapel;2016;32.887
Coquimbo;Illapel;2017;32.931
Coquimbo;Illapel;2018;32.955
Coquimbo;Illapel;2019;32.965
Coquimbo;Illapel;2020;32.964
Coquimbo;La Higuera;2015;4.622
Coquimbo;La Higuera;2016;4.686
Coquimbo;La Higuera;2017;4.727
Coquimbo;La Higuera;2018;4.793
Coquimbo;La Higuera;2019;4.843
Coquimbo;La Higuera;2020;4.893
Coquimbo;La Serena;2015;216.874
Coquimbo;La Serena;2016;221.021
Coquimbo;La Serena;2017;225.178
Coquimbo;La Serena;2018;229.318
Coquimbo;La Serena;2019;233.413
Coquimbo;La Serena;2020;237.433
Coquimbo;Los Vilos;2015;20.122
Coquimbo;Los Vilos;2016;20.259
Coquimbo;Los Vilos;2017;20.391
Coquimbo;Los Vilos;2018;20.508
Coquimbo;Los Vilos;2019;20.613
Coquimbo;Los Vilos;2020;20.723
Coquimbo;Monte Patria;2015;33.796
Coquimbo;Monte Patria;2016;33.952
Coquimbo;Monte Patria;2017;34.072
Coquimbo;Monte Patria;2018;34.180
Coquimbo;Monte Patria;2019;34.278
Coquimbo;Monte Patria;2020;34.365
Coquimbo;Ovalle;2015;120.469
Coquimbo;Ovalle;2016;121.868
Coquimbo;Ovalle;2017;123.239
Coquimbo;Ovalle;2018;124.556
Coquimbo;Ovalle;2019;125.832
Coquimbo;Ovalle;2020;127.072
Coquimbo;Paihuano;2015;4.492
Coquimbo;Paihuano;2016;4.492
Coquimbo;Paihuano;2017;4.506
Coquimbo;Paihuano;2018;4.507
Coquimbo;Paihuano;2019;4.509
Coquimbo;Paihuano;2020;4.503
Coquimbo;Punitaqui;2015;10.805
Coquimbo;Punitaqui;2016;10.868
Coquimbo;Punitaqui;2017;10.923
Coquimbo;Punitaqui;2018;10.965
Coquimbo;Punitaqui;2019;11.016
Coquimbo;Punitaqui;2020;11.058
Coquimbo;Río Hurtado;2015;4.992
Coquimbo;Río Hurtado;2016;4.997
Coquimbo;Río Hurtado;2017;4.992
Coquimbo;Río Hurtado;2018;4.977
Coquimbo;Río Hurtado;2019;4.974
Coquimbo;Río Hurtado;2020;4.957
Coquimbo;Salamanca;2015;27.298
Coquimbo;Salamanca;2016;27.410
Coquimbo;Salamanca;2017;27.511
Coquimbo;Salamanca;2018;27.605
Coquimbo;Salamanca;2019;27.671
Coquimbo;Salamanca;2020;27.738
Coquimbo;Vicuña;2015;26.669
Coquimbo;Vicuña;2016;26.781
Coquimbo;Vicuña;2017;26.874
Coquimbo;Vicuña;2018;26.948
Coquimbo;Vicuña;2019;27.015
Coquimbo;Vicuña;2020;27.069
Valparaíso;Algarrobo;2015;10.474
Valparaíso;Algarrobo;2016;10.588
Valparaíso;Algarrobo;2017;10.700
Valparaíso;Algarrobo;2018;10.820
Valparaíso;Algarrobo;2019;10.938
Valparaíso;Algarrobo;2020;11.032
Valparaíso;Cabildo;2015;20.117
Valparaíso;Cabildo;2016;20.137
Valparaíso;Cabildo;2017;20.135
Valparaíso;Cabildo;2018;20.129
Valparaíso;Cabildo;2019;20.129
Valparaíso;Cabildo;2020;20.113
Valparaíso;Calle Larga;2015;14.405
Valparaíso;Calle Larga;2016;14.712
Valparaíso;Calle Larga;2017;15.021
Valparaíso;Calle Larga;2018;15.329
Valparaíso;Calle Larga;2019;15.637
Valparaíso;Calle Larga;2020;15.947
Valparaíso;Cartagena;2015;20.213
Valparaíso;Cartagena;2016;20.396
Valparaíso;Cartagena;2017;20.563
Valparaíso;Cartagena;2018;20.733
Valparaíso;Cartagena;2019;20.890
Valparaíso;Cartagena;2020;21.036
Valparaíso;Casablanca;2015;28.831
Valparaíso;Casablanca;2016;29.333
Valparaíso;Casablanca;2017;29.826
Valparaíso;Casablanca;2018;30.316
Valparaíso;Casablanca;2019;30.805
Valparaíso;Casablanca;2020;31.296
Valparaíso;Catemu;2015;13.960
Valparaíso;Catemu;2016;14.062
Valparaíso;Catemu;2017;14.151
Valparaíso;Catemu;2018;14.229
Valparaíso;Catemu;2019;14.317
Valparaíso;Catemu;2020;14.389
Valparaíso;Concón;2015;48.778
Valparaíso;Concón;2016;50.154
Valparaíso;Concón;2017;51.533
Valparaíso;Concón;2018;52.938
Valparaíso;Concón;2019;54.356
Valparaíso;Concón;2020;55.805
Valparaíso;El Quisco;2015;13.093
Valparaíso;El Quisco;2016;13.359
Valparaíso;El Quisco;2017;13.641
Valparaíso;El Quisco;2018;13.917
Valparaíso;El Quisco;2019;14.191
Valparaíso;El Quisco;2020;14.479
Valparaíso;El Tabo;2015;10.116
Valparaíso;El Tabo;2016;10.351
Valparaíso;El Tabo;2017;10.592
Valparaíso;El Tabo;2018;10.839
Valparaíso;El Tabo;2019;11.095
Valparaíso;El Tabo;2020;11.346
Valparaíso;Hijuela;2015;18.050
Valparaíso;Hijuela;2016;18.143
Valparaíso;Hijuela;2017;18.212
Valparaíso;Hijuela;2018;18.277
Valparaíso;Hijuela;2019;18.340
Valparaíso;Hijuela;2020;18.400
Valparaíso;Isla de Pascua;2015;6.370
Valparaíso;Isla de Pascua;2016;6.600
Valparaíso;Isla de Pascua;2017;6.832
Valparaíso;Isla de Pascua;2018;7.077
Valparaíso;Isla de Pascua;2019;7.327
Valparaíso;Isla de Pascua;2020;7.582
Valparaíso;Juan Fernández;2015;857
Valparaíso;Juan Fernández;2016;863
Valparaíso;Juan Fernández;2017;871
Valparaíso;Juan Fernández;2018;880
Valparaíso;Juan Fernández;2019;889
Valparaíso;Juan Fernández;2020;896
Valparaíso;La Calera;2015;55.121
Valparaíso;La Calera;2016;55.343
Valparaíso;La Calera;2017;55.555
Valparaíso;La Calera;2018;55.748
Valparaíso;La Calera;2019;55.924
Valparaíso;La Calera;2020;56.067
Valparaíso;La Cruz;2015;19.145
Valparaíso;La Cruz;2016;19.667
Valparaíso;La Cruz;2017;20.189
Valparaíso;La Cruz;2018;20.721
Valparaíso;La Cruz;2019;21.255
Valparaíso;La Cruz;2020;21.790
Valparaíso;La Ligua;2015;33.878
Valparaíso;La Ligua;2016;33.883
Valparaíso;La Ligua;2017;33.884
Valparaíso;La Ligua;2018;33.865
Valparaíso;La Ligua;2019;33.839
Valparaíso;La Ligua;2020;33.803
Valparaíso;Limache;2015;45.398
Valparaíso;Limache;2016;45.709
Valparaíso;Limache;2017;46.022
Valparaíso;Limache;2018;46.320
Valparaíso;Limache;2019;46.598
Valparaíso;Limache;2020;46.870
Valparaíso;Llaillay;2015;24.680
Valparaíso;Llaillay;2016;24.826
Valparaíso;Llaillay;2017;24.955
Valparaíso;Llaillay;2018;25.095
Valparaíso;Llaillay;2019;25.209
Valparaíso;Llaillay;2020;25.331
Valparaíso;Los Andes;2015;68.041
Valparaíso;Los Andes;2016;68.401
Valparaíso;Los Andes;2017;68.734
Valparaíso;Los Andes;2018;69.048
Valparaíso;Los Andes;2019;69.345
Valparaíso;Los Andes;2020;69.609
Valparaíso;Nogales;2015;23.783
Valparaíso;Nogales;2016;23.859
Valparaíso;Nogales;2017;23.925
Valparaíso;Nogales;2018;23.984
Valparaíso;Nogales;2019;24.033
Valparaíso;Nogales;2020;24.079
Valparaíso;Olmué;2015;15.987
Valparaíso;Olmué;2016;16.075
Valparaíso;Olmué;2017;16.162
Valparaíso;Olmué;2018;16.241
Valparaíso;Olmué;2019;16.305
Valparaíso;Olmué;2020;16.374
Valparaíso;Panquehue;2015;7.333
Valparaíso;Panquehue;2016;7.361
Valparaíso;Panquehue;2017;7.387
Valparaíso;Panquehue;2018;7.410
Valparaíso;Panquehue;2019;7.427
Valparaíso;Panquehue;2020;7.438
Valparaíso;Papudo;2015;5.263
Valparaíso;Papudo;2016;5.310
Valparaíso;Papudo;2017;5.340
Valparaíso;Papudo;2018;5.369
Valparaíso;Papudo;2019;5.394
Valparaíso;Papudo;2020;5.417
Valparaíso;Petorca;2015;10.323
Valparaíso;Petorca;2016;10.351
Valparaíso;Petorca;2017;10.384
Valparaíso;Petorca;2018;10.405
Valparaíso;Petorca;2019;10.415
Valparaíso;Petorca;2020;10.432
Valparaíso;Puchuncaví;2015;17.762
Valparaíso;Puchuncaví;2016;18.115
Valparaíso;Puchuncaví;2017;18.484
Valparaíso;Puchuncaví;2018;18.842
Valparaíso;Puchuncaví;2019;19.213
Valparaíso;Puchuncaví;2020;19.572
Valparaíso;Putaendo;2015;16.391
Valparaíso;Putaendo;2016;16.469
Valparaíso;Putaendo;2017;16.533
Valparaíso;Putaendo;2018;16.592
Valparaíso;Putaendo;2019;16.648
Valparaíso;Putaendo;2020;16.702
Valparaíso;Quillota;2015;93.633
Valparaíso;Quillota;2016;94.749
Valparaíso;Quillota;2017;95.852
Valparaíso;Quillota;2018;96.948
Valparaíso;Quillota;2019;98.022
Valparaíso;Quillota;2020;99.063
Valparaíso;Quilpué;2015;168.070
Valparaíso;Quilpué;2016;170.853
Valparaíso;Quilpué;2017;173.617
Valparaíso;Quilpué;2018;176.377
Valparaíso;Quilpué;2019;179.109
Valparaíso;Quilpué;2020;181.831
Valparaíso;Quintero;2015;27.667
Valparaíso;Quintero;2016;28.124
Valparaíso;Quintero;2017;28.581
Valparaíso;Quintero;2018;29.035
Valparaíso;Quintero;2019;29.480
Valparaíso;Quintero;2020;29.931
Valparaíso;Rinconada;2015;10.396
Valparaíso;Rinconada;2016;10.703
Valparaíso;Rinconada;2017;11.028
Valparaíso;Rinconada;2018;11.347
Valparaíso;Rinconada;2019;11.681
Valparaíso;Rinconada;2020;12.013
Valparaíso;San Antonio;2015;96.764
Valparaíso;San Antonio;2016;97.136
Valparaíso;San Antonio;2017;97.481
Valparaíso;San Antonio;2018;97.780
Valparaíso;San Antonio;2019;98.054
Valparaíso;San Antonio;2020;98.299
Valparaíso;San Esteban;2015;18.480
Valparaíso;San Esteban;2016;18.765
Valparaíso;San Esteban;2017;19.043
Valparaíso;San Esteban;2018;19.320
Valparaíso;San Esteban;2019;19.588
Valparaíso;San Esteban;2020;19.859
Valparaíso;San Felipe;2015;73.842
Valparaíso;San Felipe;2016;74.337
Valparaíso;San Felipe;2017;74.812
Valparaíso;San Felipe;2018;75.259
Valparaíso;San Felipe;2019;75.696
Valparaíso;San Felipe;2020;76.103
Valparaíso;Santa María;2015;15.665
Valparaíso;Santa María;2016;15.836
Valparaíso;Santa María;2017;16.005
Valparaíso;Santa María;2018;16.171
Valparaíso;Santa María;2019;16.334
Valparaíso;Santa María;2020;16.489
Valparaíso;Santo Domingo;2015;9.299
Valparaíso;Santo Domingo;2016;9.432
Valparaíso;Santo Domingo;2017;9.552
Valparaíso;Santo Domingo;2018;9.673
Valparaíso;Santo Domingo;2019;9.789
Valparaíso;Santo Domingo;2020;9.906
Valparaíso;Valparaíso;2015;295.489
Valparaíso;Valparaíso;2016;295.731
Valparaíso;Valparaíso;2017;295.927
Valparaíso;Valparaíso;2018;296.004
Valparaíso;Valparaíso;2019;296.007
Valparaíso;Valparaíso;2020;295.916
Valparaíso;Villa Alemana;2015;138.348
Valparaíso;Villa Alemana;2016;141.729
Valparaíso;Villa Alemana;2017;145.139
Valparaíso;Villa Alemana;2018;148.580
Valparaíso;Villa Alemana;2019;152.035
Valparaíso;Villa Alemana;2020;155.527
Valparaíso;Viña del Mar;2015;323.530
Valparaíso;Viña del Mar;2016;325.195
Valparaíso;Viña del Mar;2017;326.760
Valparaíso;Viña del Mar;2018;328.241
Valparaíso;Viña del Mar;2019;329.616
Valparaíso;Viña del Mar;2020;330.898
Valparaíso;Zapallar;2015;6.205
Valparaíso;Zapallar;2016;6.223
Valparaíso;Zapallar;2017;6.244
Valparaíso;Zapallar;2018;6.256
Valparaíso;Zapallar;2019;6.268
Valparaíso;Zapallar;2020;6.274
Libertador General Bernardo O'Higgins;Chépica;2015;16.081
Libertador General Bernardo O'Higgins;Chépica;2016;16.196
Libertador General Bernardo O'Higgins;Chépica;2017;16.278
Libertador General Bernardo O'Higgins;Chépica;2018;16.362
Libertador General Bernardo O'Higgins;Chépica;2019;16.449
Libertador General Bernardo O'Higgins;Chépica;2020;16.496
Libertador General Bernardo O'Higgins;Chimbarongo;2015;37.424
Libertador General Bernardo O'Higgins;Chimbarongo;2016;37.660
Libertador General Bernardo O'Higgins;Chimbarongo;2017;37.876
Libertador General Bernardo O'Higgins;Chimbarongo;2018;38.065
Libertador General Bernardo O'Higgins;Chimbarongo;2019;38.223
Libertador General Bernardo O'Higgins;Chimbarongo;2020;38.350
Libertador General Bernardo O'Higgins;Codegua;2015;14.166
Libertador General Bernardo O'Higgins;Codegua;2016;14.392
Libertador General Bernardo O'Higgins;Codegua;2017;14.588
Libertador General Bernardo O'Higgins;Codegua;2018;14.787
Libertador General Bernardo O'Higgins;Codegua;2019;14.978
Libertador General Bernardo O'Higgins;Codegua;2020;15.143
Libertador General Bernardo O'Higgins;Coinco;2015;7.191
Libertador General Bernardo O'Higgins;Coinco;2016;7.217
Libertador General Bernardo O'Higgins;Coinco;2017;7.241
Libertador General Bernardo O'Higgins;Coinco;2018;7.261
Libertador General Bernardo O'Higgins;Coinco;2019;7.281
Libertador General Bernardo O'Higgins;Coinco;2020;7.286
Libertador General Bernardo O'Higgins;Coltauco;2015;19.703
Libertador General Bernardo O'Higgins;Coltauco;2016;19.894
Libertador General Bernardo O'Higgins;Coltauco;2017;20.078
Libertador General Bernardo O'Higgins;Coltauco;2018;20.251
Libertador General Bernardo O'Higgins;Coltauco;2019;20.412
Libertador General Bernardo O'Higgins;Coltauco;2020;20.558
Libertador General Bernardo O'Higgins;Doñihue;2015;20.318
Libertador General Bernardo O'Higgins;Doñihue;2016;20.499
Libertador General Bernardo O'Higgins;Doñihue;2017;20.677
Libertador General Bernardo O'Higgins;Doñihue;2018;20.838
Libertador General Bernardo O'Higgins;Doñihue;2019;20.981
Libertador General Bernardo O'Higgins;Doñihue;2020;21.119
Libertador General Bernardo O'Higgins;Graneros;2015;33.726
Libertador General Bernardo O'Higgins;Graneros;2016;34.212
Libertador General Bernardo O'Higgins;Graneros;2017;34.677
Libertador General Bernardo O'Higgins;Graneros;2018;35.124
Libertador General Bernardo O'Higgins;Graneros;2019;35.535
Libertador General Bernardo O'Higgins;Graneros;2020;35.941
Libertador General Bernardo O'Higgins;La Estrella;2015;3.305
Libertador General Bernardo O'Higgins;La Estrella;2016;3.314
Libertador General Bernardo O'Higgins;La Estrella;2017;3.333
Libertador General Bernardo O'Higgins;La Estrella;2018;3.349
Libertador General Bernardo O'Higgins;La Estrella;2019;3.356
Libertador General Bernardo O'Higgins;La Estrella;2020;3.370
Libertador General Bernardo O'Higgins;Las Cabras;2015;23.960
Libertador General Bernardo O'Higgins;Las Cabras;2016;24.134
Libertador General Bernardo O'Higgins;Las Cabras;2017;24.295
